BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
50.0 1.8 312.0 62.0 1.1 "2011-01-26 01:55:00" 59.0 1.3 17.0 -48.0
48.0 1.8 314.0 61.0 1.2 "2011-01-26 01:55:00" 55.0 1.1 18.0 -46.0
48.0 3.0 320.0 63.0 3.1 "2011-01-26 01:55:00" 56.0 1.3 18.0 -40.0
49.0 3.0 322.0 63.0 3.1 "2011-01-26 01:55:00" 57.0 1.3 18.0 -38.0
49.0 3.0 324.0 65.0 2.8 "2011-01-26 01:55:00" 57.0 1.7 18.0 -36.0
51.0 2.1 326.0 65.0 2.8 "2011-01-26 01:55:00" 58.0 1.5 18.0 -34.0
54.0 3.8 348.0 67.0 3.1 "2011-01-26 01:55:00" 63.0 2.6 20.0 -12.0
53.0 4.6 350.0 67.0 3.1 "2011-01-26 01:55:00" 65.0 2.5 20.0 -10.0
53.0 5.1 352.0 67.0 2.5 "2011-01-26 01:55:00" 65.0 2.5 20.0 -8.0
54.0 4.8 354.0 66.0 2.5 "2011-01-26 01:55:00" 65.0 2.5 20.0 -6.0
55.0 4.5 0.0 67.0 3.4 "2011-01-26 01:55:00" 61.0 0.8 21.0 0.0
54.0 4.9 2.0 68.0 3.4 "2011-01-26 01:55:00" 62.0 2.1 21.0 2.0
53.0 5.3 4.0 68.0 3.2 "2011-01-26 01:55:00" 62.0 2.2 21.0 4.0
56.0 3.6 8.0 70.0 2.4 "2011-01-26 01:55:00" 67.0 1.4 21.0 8.0
55.0 4.4 10.0 70.0 2.4 "2011-01-26 01:55:00" 65.0 3.5 21.0 10.0
49.0 6.2 14.0 66.0 3.5 "2011-01-26 01:55:00" 59.0 0.9 22.0 14.0
50.0 5.3 16.0 70.0 2.3 "2011-01-26 01:55:00" 62.0 1.7 22.0 16.0
55.0 3.9 18.0 69.0 3.3 "2011-01-26 01:55:00" 62.0 1.7 22.0 18.0
BndEquMlat BndEquTecVal BndMlon BndPolMlat BndPolTecVal date minTecMlat minTecVal mlt adjstMlons
53.0 2.5 312.0 63.0 0.8 "2011-01-26 02:00:00" 63.0 0.8 18.0 -48.0
48.0 3.1 322.0 69.0 2.7 "2011-01-26 02:00:00" 58.0 1.3 18.0 -38.0
48.0 3.6 324.0 69.0 2.7 "2011-01-26 02:00:00" 59.0 1.9 18.0 -36.0
52.0 1.8 326.0 66.0 2.7 "2011-01-26 02:00:00" 59.0 1.9 19.0 -34.0
47.0 2.4 330.0 64.0 3.4 "2011-01-26 02:00:00" 55.0 2.5 19.0 -30.0
54.0 3.8 350.0 67.0 3.1 "2011-01-26 02:00:00" 62.0 1.9 20.0 -10.0
52.0 5.2 352.0 67.0 2.5 "2011-01-26 02:00:00" 65.0 2.5 20.0 -8.0
53.0 5.3 354.0 67.0 2.5 "2011-01-26 02:00:00" 65.0 2.5 20.0 -6.0
56.0 2.5 0.0 67.0 3.4 "2011-01-26 02:00:00" 62.0 0.8 21.0 0.0
